corruption,feature,sev_1,sev_2,sev_3,sev_4,sev_5,drift_detected
gaussian_noise,brightness,0.0727126537527087,0.0851923825359879,0.1125066502926226,0.1629980759980934,0.2518743487703819,True
gaussian_noise,mean_blue,0.0284281627458985,0.0403122152306296,0.0838201284969654,0.1599182440520972,0.2740032274780445,True
gaussian_noise,mean_green,0.053795986637835,0.0651292230179395,0.0868151864685331,0.1284712791089472,0.2032252466523449,True
gaussian_noise,mean_red,0.0466298629968357,0.0430855915281131,0.0606813189565784,0.1220646886518165,0.2238177208573185,True
gaussian_noise,rms_contrast,0.1145748969170008,0.1265537676240964,0.220012961541793,0.3806426083905909,0.6014185631046054,True
gaussian_noise,sharpness,1.3858583613702458,2.396271371131164,3.42068545964797,4.200996231676651,4.791837761816752,True
impulse_noise,brightness,0.0804179377585204,0.103367685603927,0.1264727544020513,0.1890283573946242,0.2673788573289372,True
impulse_noise,mean_blue,0.0293141768454631,0.0615422337856373,0.0968815128654144,0.1851541122606093,0.2847095147979579,True
impulse_noise,mean_green,0.0584339756216482,0.074755953060541,0.0918072345537989,0.1445064701324038,0.209470608380721,True
impulse_noise,mean_red,0.0381534459191328,0.0446739389361732,0.0685790306813972,0.1442311146536828,0.233162443451511,True
impulse_noise,rms_contrast,0.1166048149506812,0.1322072712406846,0.172549244889367,0.3104122660135248,0.4889802304329724,True
impulse_noise,sharpness,0.8571584616587758,1.5513915811869945,2.150133275220892,3.356573658047338,4.291619760755676,True
shot_noise,brightness,0.0735682994273358,0.0926253399350275,0.129523225715947,0.2264921815231161,0.3370913562057024,True
shot_noise,mean_blue,0.0315413097219726,0.0288328171104502,0.0316331640944857,0.0757671021578174,0.125524901456456,True
shot_noise,mean_green,0.0380600139755341,0.0358348376034141,0.0357841356283669,0.0564861467375986,0.0895584640392077,False
shot_noise,mean_red,0.050125050975321,0.0430818786103942,0.0341049077302332,0.0552209177109972,0.0946032622704007,False
shot_noise,rms_contrast,0.106031280926413,0.1397714141558567,0.2535084966317123,0.5065496250268687,0.7231925954250754,True
shot_noise,sharpness,1.5041790392582972,2.558166722979885,3.451342903310642,4.334383997934079,4.723951627318408,True
