corruption,feature,sev_1,sev_2,sev_3,sev_4,sev_5,drift_detected
defocus_blur,brightness,0.0606045032887223,0.0604160989104249,0.0603850400858611,0.0501398885433941,0.0494623545662067,False
defocus_blur,mean_blue,0.038376605404012,0.0384307983838312,0.0385530256983362,0.0385909918957167,0.0385711588891513,False
defocus_blur,mean_green,0.0406735601647774,0.0406068290550987,0.0406263978516156,0.0405814601204215,0.0407627225300554,False
defocus_blur,mean_red,0.0590181146454296,0.0590354677929641,0.0591614063377994,0.0591785682204347,0.0592523958014303,False
defocus_blur,rms_contrast,0.417192424161924,0.4864275535382618,0.6068223742257657,0.6691421746454259,0.7723836069455158,True
defocus_blur,sharpness,1.2653085445820509,1.2832041005839856,1.292588125418809,1.2920724111035566,1.294568844400125,True
glass_blur,brightness,0.064491140578182,0.0648351420979164,0.0629726211334276,0.0638658692158745,0.063665927984858,False
glass_blur,mean_blue,0.0404140150864209,0.041017447939882,0.0398304067881029,0.0404501851417927,0.0404633404606992,False
glass_blur,mean_green,0.04032865464911,0.0401117096448985,0.0399585460730651,0.0398833842126874,0.0396569255110296,False
glass_blur,mean_red,0.0607765832623195,0.0612468432289168,0.0600132539748115,0.0605693452928637,0.0604578103599245,False
glass_blur,rms_contrast,0.350141544492479,0.4232921929070981,0.4974612047736346,0.569428680362984,0.6912951700936717,True
glass_blur,sharpness,1.1585758692024275,1.232642055646103,1.238898053606634,1.2580857835081585,1.286697541963421,True
motion_blur,brightness,0.0569014629779401,0.0567775037282359,0.0564204516321838,0.0558303386399942,0.0549229385554213,False
motion_blur,mean_blue,0.0341053906027719,0.0343672278296169,0.0344389470822569,0.0343968364111568,0.0341678151155138,False
motion_blur,mean_green,0.0415663868693244,0.0413271935484111,0.0410996087264406,0.0408440117469664,0.040585236683048,False
motion_blur,mean_red,0.0554175335836024,0.0555430114768909,0.0554890470363535,0.0553146946678765,0.0549541029816231,False
motion_blur,rms_contrast,0.3449502314818517,0.4381417297122094,0.5517891895848464,0.6624012555337514,0.7442619997194441,True
motion_blur,sharpness,1.0415978336277991,1.140696868000733,1.1999502046810806,1.2326496051480251,1.247467183798582,True
zoom_blur,brightness,0.0666759426875834,0.0685240251808455,0.0703363680296182,0.0716920025098174,0.0731907463468324,False
zoom_blur,mean_blue,0.0436928767459332,0.0458433599166157,0.0478721235892844,0.0497226508896792,0.0518009204701378,False
zoom_blur,mean_green,0.0495712602043471,0.0527093489727916,0.0558542329357222,0.0587893488455277,0.0626294528049996,False
zoom_blur,mean_red,0.0689908069626474,0.0727824241615212,0.0764750595221352,0.0798742063848981,0.0839725703989507,False
zoom_blur,rms_contrast,0.4588806359828732,0.5266160464219546,0.6118013845494271,0.6613744797741717,0.7407957270261276,True
zoom_blur,sharpness,1.1657254605736438,1.2067433009241948,1.218079995470453,1.2359842758549229,1.2371471663372566,True
