corruption,feature,sev_1,sev_2,sev_3,sev_4,sev_5,drift_detected
brightness,brightness,0.5763251419442841,1.128611693129222,1.6098947389091047,2.022776368093347,2.3484825574451285,True
brightness,mean_blue,0.0376990299990191,0.0435821623953808,0.0477525128343258,0.0535881385519049,0.0562991970262872,False
brightness,mean_green,0.0395890433061374,0.0408107789246781,0.0425647796874737,0.0529901065382719,0.0593635624397183,False
brightness,mean_red,0.0578557405014792,0.0630076800666459,0.0643068072127822,0.0686954995644662,0.0693234148315566,False
brightness,rms_contrast,0.1946031399544175,0.3430043027235773,0.5861942974490217,0.9138519972282736,1.2694112835809288,True
brightness,sharpness,0.2392419584586117,0.2486184751503727,0.2853873207201712,0.348412377534569,0.4297407861453361,True
fog,brightness,0.337783275496884,0.3448396506366494,0.3641523440254178,0.401108850471482,0.4410117433438622,True
fog,mean_blue,0.5256002128165579,0.5761507374125344,0.6120984263035599,0.6130815246940956,0.6399077947580181,True
fog,mean_green,0.3805917033871603,0.4150605703560778,0.4393681955808757,0.4400630066807457,0.4584778334770062,True
fog,mean_red,0.4574402140524952,0.5031869962888885,0.535867518211932,0.5367348780186909,0.5611579487678019,True
fog,rms_contrast,1.6946642947137898,1.7237148199668146,1.5906648580642293,1.471920952832137,1.38376752897523,True
fog,sharpness,1.103312645168419,1.169475934287231,1.2082600394350556,1.2074599307195517,1.2291845425090735,True
frost,brightness,1.6816027518933407,1.974560461515563,2.11223821031881,1.9879281145321424,2.0555608144235187,True
frost,mean_blue,0.4692882194911212,0.6430802548808944,0.7223710093092399,0.7436771468797639,0.783210478363603,True
frost,mean_green,0.2127734663066826,0.2407102285667169,0.2496997959862487,0.2487158768983623,0.2548294415558634,True
frost,mean_red,0.4366275320805768,0.6098049755852377,0.6911840146935251,0.7130281356420435,0.753416071868348,True
frost,rms_contrast,0.5370419534481956,1.067577341072481,1.318930743645509,1.3778099344094623,1.4955217320032734,True
frost,sharpness,0.2854832754510692,0.2937768573860835,0.2479723895832786,0.2428730258346281,0.210797466220206,True
snow,brightness,1.1464564015574108,1.8509922535376129,1.8391766014183224,2.211917192051341,2.592699228117875,True
snow,mean_blue,0.3736480774094247,0.5283215141543489,0.5291965158634143,0.5997338989403179,0.670008542401642,True
snow,mean_green,0.269782375264907,0.3718560871870018,0.3730948147947954,0.4206651145680241,0.4677679166428619,True
snow,mean_red,0.3225482202524355,0.4634360886105114,0.4638594215687088,0.5269322346940251,0.5883202441724058,True
snow,rms_contrast,0.0998637704573076,0.1898497687844854,0.1768096543191668,0.2260269122124332,0.6525843309982774,True
snow,sharpness,0.461836049445157,1.0377019945831714,0.549787919041341,0.5158347348816497,0.5991813526744703,True
