corruption,feature,sev_1,sev_2,sev_3,sev_4,sev_5,drift_detected
contrast,brightness,0.0602447705863621,0.0602394631663353,0.0602294543929188,0.0602274566931005,0.060194568459403,False
contrast,mean_blue,0.0384182110830335,0.0382448081348306,0.0379043653121608,0.0375977988187128,0.0375471321915861,False
contrast,mean_green,0.0414399867549822,0.0419016379699674,0.0427902407407921,0.0433911853522687,0.0434032443974582,False
contrast,mean_red,0.0594351987507614,0.0595122536776536,0.0595630319989175,0.0594508591565704,0.0592613453046875,False
contrast,rms_contrast,2.330082738234577,2.691651952622034,3.053031019878583,3.413698172554617,3.593122765944037,True
contrast,sharpness,1.1120139580027872,1.2122851988898868,1.2815982836888564,1.318082021536275,1.3251202491917262,True
elastic_transform,brightness,0.0517935543899658,0.0444589419000809,0.0596028657907875,0.059609638032453,0.059654098170705,False
elastic_transform,mean_blue,0.0391539128434742,0.0429497119953471,0.0368296346830094,0.0366567439275439,0.0362511608603284,False
elastic_transform,mean_green,0.0435013645743846,0.0496314006779053,0.0417685152715565,0.0417895808548645,0.0421173418961631,False
elastic_transform,mean_red,0.0612857176478656,0.0676524417706405,0.0580957245051942,0.0579259127384393,0.0577024491566753,False
elastic_transform,rms_contrast,0.2698958033931782,0.3044680380943262,0.2494197536689825,0.2495899426578477,0.2497076646988493,True
elastic_transform,sharpness,0.8625872393304892,0.7680629536166219,0.8218261733877527,0.7741129065338,0.6141770849848975,True
jpeg_compression,brightness,0.057808666511192,0.0578750958363139,0.0582829669014183,0.0585834643138959,0.0579847534402097,False
jpeg_compression,mean_blue,0.0220647587688218,0.0268807878623948,0.0188770970157224,0.0216240321827764,0.0231451619096198,False
jpeg_compression,mean_green,0.0601054053694672,0.0513369411237675,0.0576592213876795,0.0540693696110649,0.058407230857083,False
jpeg_compression,mean_red,0.0521340029831551,0.0513531944479975,0.0460593250487456,0.0438213689783569,0.0358504091905894,False
jpeg_compression,rms_contrast,0.1832917989780589,0.1878825710584477,0.1906344703072262,0.1960799327955384,0.1969123179777041,True
jpeg_compression,sharpness,0.4690667906239978,0.5147800239071149,0.534495599994151,0.5641406253494112,0.5789347616628675,True
pixelate,brightness,0.056300321044821,0.0560560668536067,0.0564624385809615,0.056611832859923,0.0563429808211424,False
pixelate,mean_blue,0.0299802926857203,0.0297807983114422,0.0316339858486115,0.032456510994342,0.0329723763779455,False
pixelate,mean_green,0.0431414042747614,0.0427903830937184,0.0426166620704587,0.0423319689771032,0.0416213056217143,False
pixelate,mean_red,0.0522992864282748,0.0519307499843813,0.0535951440544338,0.0542302261404669,0.0543731940634821,False
pixelate,rms_contrast,0.2238147382085805,0.2363702018533243,0.2761350941862405,0.3216146809767807,0.3530206327767844,True
pixelate,sharpness,0.3182431474746137,0.3429075560133145,0.4110074819030879,0.4887706599993598,0.5334247549438532,True
